task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
terms_of_service,qwen_3_4b,5,50,0.6679999999999998,0.1984338680769994,0.2,1.0,0.0,0.6754007936507936
terms_of_service,qwen_3_4b,10,50,0.6884999999999999,0.12968326800323934,0.49750000000000005,0.9,0.0,0.6362282549107239
terms_of_service,qwen_3_4b,16,50,0.675,0.10269797953221864,0.4375,0.875,0.0,0.6091065480712008
terms_of_service,qwen_3_4b,25,50,0.6969999999999998,0.06577993615077472,0.56,0.8,0.0,0.607952860759381
terms_of_service,qwen_3_4b,32,50,0.67734375,0.04999389611180049,0.59375,0.78125,0.0,0.6021325009739462
terms_of_service,qwen_3_4b,40,50,0.6848750000000001,0.034901423681563466,0.625,0.75,0.0,0.6040335641018956
terms_of_service,qwen_3_8b,full,50,0.76,,,,0.0,0.6503496503496504
terms_of_service,qwen_3_8b,5,50,0.773,0.18295081306187191,0.4,1.0,0.0,0.7157460317460317
terms_of_service,qwen_3_8b,10,50,0.767,0.11537330713817649,0.5,1.0,0.0,0.6584056527837489
terms_of_service,qwen_3_8b,16,50,0.75625,0.09416574483324604,0.5625,0.9375,0.0,0.650146916177714
terms_of_service,qwen_3_8b,25,50,0.7634000000000001,0.05695998595505444,0.64,0.88,0.0,0.6465400553068247
terms_of_service,qwen_3_8b,32,50,0.765625,0.046979051182415334,0.6875,0.84375,0.0,0.6432956097956819
terms_of_service,qwen_3_8b,40,50,0.7598750000000001,0.027827313470761075,0.724375,0.825,0.0,0.6501250109015194
tweet_eval_hate,llama_3_8b,full,50,0.24,,,,0.0,0.2200328407224959
tweet_eval_hate,llama_3_8b,5,50,0.24100000000000002,0.17583799361912658,0.0,0.6,0.0,0.21856150793650791
tweet_eval_hate,llama_3_8b,10,50,0.24600000000000002,0.12403225386970923,0.0,0.5,0.0,0.20395145132645134
tweet_eval_hate,llama_3_8b,16,50,0.2428125,0.08776244124766584,0.0625,0.4375,0.0,0.21239233624992138
tweet_eval_hate,llama_3_8b,25,50,0.23660000000000003,0.056253355455474836,0.12,0.32,0.0,0.2168389772267951
tweet_eval_hate,llama_3_8b,32,50,0.22828125,0.045521876179892895,0.15625,0.3125,0.0,0.22221860323999024
tweet_eval_hate,llama_3_8b,40,50,0.23925000000000002,0.031771646164465574,0.175,0.3,0.0,0.21942015201204843
tweet_eval_hate,qwen_3_4b,full,50,0.3,,,,0.0,0.292929292929293
tweet_eval_hate,qwen_3_4b,5,50,0.31,0.21142374511865974,0.0,0.8,0.0,0.2697876984126984
tweet_eval_hate,qwen_3_4b,10,50,0.30450000000000005,0.1312621422954844,0.09750000000000006,0.5,0.0,0.26994225219225215
tweet_eval_hate,qwen_3_4b,16,50,0.301875,0.091453112986929,0.125,0.5,0.0,0.28991017232531907
tweet_eval_hate,qwen_3_4b,25,50,0.30239999999999995,0.06205030217492901,0.16,0.44,0.0,0.2899952698460263
tweet_eval_hate,qwen_3_4b,32,50,0.2975,0.04728570079844434,0.21796875000000002,0.375,0.0,0.2887966857610562
tweet_eval_hate,qwen_3_4b,40,50,0.297625,0.031681767232905424,0.249375,0.35,0.0,0.29345995688851273
tweet_eval_hate,qwen_3_8b,full,50,0.26,,,,0.0,0.25970388155262103
tweet_eval_hate,qwen_3_8b,5,50,0.252,0.18787229705307806,0.0,0.6,0.0,0.24348214285714284
tweet_eval_hate,qwen_3_8b,10,50,0.2625,0.12059747095192336,0.1,0.5,0.0,0.23622634310134308
tweet_eval_hate,qwen_3_8b,16,50,0.2578125,0.0870384029825341,0.125,0.4375,0.0,0.24359436061874143
tweet_eval_hate,qwen_3_8b,25,50,0.259,0.06091797764207214,0.12,0.36,0.0,0.251425057186414
tweet_eval_hate,qwen_3_8b,32,50,0.258125,0.05305510107426052,0.15625,0.34375,0.0,0.2539414044129782
tweet_eval_hate,qwen_3_8b,40,50,0.259625,0.03149181441263745,0.19937500000000002,0.30062500000000014,0.0,0.2589849042046627
twitter_complaints,llama_3_8b,full,50,0.1,,,,0.0,0.09963985594237695
twitter_complaints,llama_3_8b,5,50,0.096,0.12483589227461789,0.0,0.4,0.0,0.11160119047619048
twitter_complaints,llama_3_8b,10,50,0.10450000000000001,0.08619599758689495,0.0,0.3,0.0,0.09825213675213675
twitter_complaints,llama_3_8b,16,50,0.0965625,0.06367566131380184,0.0,0.25,0.0,0.0991297176765443
twitter_complaints,llama_3_8b,25,50,0.10240000000000002,0.03972706885739243,0.04,0.16,0.0,0.09202734423386598
twitter_complaints,llama_3_8b,32,50,0.10171875,0.03171490124432835,0.03125,0.15625,0.0,0.09895000595546137
twitter_complaints,llama_3_8b,40,50,0.10074999999999999,0.01998593255267314,0.05,0.125,0.0,0.09734343587272208
twitter_complaints,qwen_3_4b,full,50,0.08,,,,0.0,0.07852564102564102
twitter_complaints,qwen_3_4b,5,50,0.08199999999999999,0.12031624994156029,0.0,0.4,0.0,0.07044047619047619
twitter_complaints,qwen_3_4b,10,50,0.0785,0.07929533403675149,0.0,0.3,0.0,0.07925679875679875
twitter_complaints,qwen_3_4b,16,50,0.0809375,0.0536909195651369,0.0,0.1875,0.0,0.08020696348714924
twitter_complaints,qwen_3_4b,25,50,0.08379999999999999,0.041684049707292115,0.0,0.16,0.0,0.07965597892445718
twitter_complaints,qwen_3_4b,32,50,0.07453125,0.02959318901263431,0.03125,0.125,0.0,0.08058398843408332
twitter_complaints,qwen_3_4b,40,50,0.08175,0.01947915552584352,0.05,0.1,0.0,0.07708591956351457
twitter_complaints,qwen_3_8b,full,50,0.12,,,,0.0,0.1143317230273752
twitter_complaints,qwen_3_8b,5,50,0.114,0.13039938650162433,0.0,0.4,0.0,0.12243452380952383
twitter_complaints,qwen_3_8b,10,50,0.11600000000000002,0.09024411338142782,0.0,0.3,0.0,0.12027583527583527
twitter_complaints,qwen_3_8b,16,50,0.118125,0.06897406668451557,0.0,0.25,0.0,0.10854472153233764
twitter_complaints,qwen_3_8b,25,50,0.1232,0.042775694032943526,0.04,0.2,0.0,0.11152641897915512
twitter_complaints,qwen_3_8b,32,50,0.12140625,0.03633308097915039,0.06171875000000002,0.1875,0.0,0.1126408375809385
twitter_complaints,qwen_3_8b,40,50,0.120625,0.024929588343973907,0.075,0.15,0.0,0.114469860772261
